month,tenure,mean,median,n
2024-07-01,Freehold,892109.4545931759,650000.0,3810
2024-07-01,Leasehold,577846.8191003128,455000.0,4157
2024-08-01,Freehold,892325.5956511117,665000.0,4093
2024-08-01,Leasehold,583232.2992965736,450000.0,4407
2024-09-01,Freehold,892248.760259817,645000.0,3387
2024-09-01,Leasehold,586410.9010196469,455000.0,4021
2024-10-01,Freehold,872859.3226533167,630000.0,3995
2024-10-01,Leasehold,606049.780586451,465000.0,4945
2024-11-01,Freehold,813723.2421588019,621000.0,3539
2024-11-01,Leasehold,582627.6416625676,448937.5,4066
2024-12-01,Freehold,826723.9099368561,616000.0,3009
2024-12-01,Leasehold,600261.2615832671,446000.0,3777
2025-01-01,Freehold,901893.8543626338,630000.0,3083
2025-01-01,Leasehold,577795.2060375146,450000.0,3412
2025-02-01,Freehold,817872.4154660394,615000.0,3401
2025-02-01,Leasehold,564211.2804943579,450000.0,3722
2025-03-01,Freehold,754873.4457343413,600000.0,7408
2025-03-01,Leasehold,525383.9574608773,450000.0,9074
2025-04-01,Freehold,1003884.5545851529,685000.0,1145
2025-04-01,Leasehold,664680.9781631342,419970.0,1557
2025-05-01,Freehold,931719.3229120143,685000.0,2239
2025-05-01,Leasehold,600684.3209922251,440000.0,2701
2025-06-01,Freehold,872238.8690213392,650000.0,2718
2025-06-01,Leasehold,575321.9168667467,437500.0,3332
2025-07-01,Freehold,931673.1307863916,670000.0,3586
2025-07-01,Leasehold,571752.873723042,450000.0,3524
2025-08-01,Freehold,899399.3708240534,665000.0,3592
2025-08-01,Leasehold,535371.316943128,440000.0,3376
2025-09-01,Freehold,879608.9493001555,650000.0,3215
2025-09-01,Leasehold,550570.7233410366,435000.0,3029
2025-10-01,Freehold,835889.6143445033,635000.0,3402
2025-10-01,Leasehold,515500.49159159156,425000.0,3330
2025-11-01,Freehold,869062.6239130435,650000.0,2760
2025-11-01,Leasehold,511757.99016508606,425000.0,2847
2025-12-01,Freehold,757679.8821978022,600000.0,2275
2025-12-01,Leasehold,478331.7951180472,410000.0,2499
2026-01-01,Freehold,786533.4331983805,615000.0,1976
2026-01-01,Leasehold,502928.90486039297,422000.0,1934
2026-02-01,Freehold,724283.2276119404,590000.0,1876
2026-02-01,Leasehold,457337.2192,400000.0,1875
2026-03-01,Freehold,744298.861827957,590000.0,1860
2026-03-01,Leasehold,461658.5599429115,410000.0,2102
2026-04-01,Freehold,744450.4373757455,597000.0,1509
2026-04-01,Leasehold,480303.60996884736,420000.0,1605
2026-05-01,Freehold,682677.3302034428,590000.0,639
2026-05-01,Leasehold,492728.63661202183,450000.0,732
